2026-07-17 16:34:38,586 | INFO | translation-platform | Loading MT5 model...
2026-07-17 16:34:39,799 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/persiannlp/mt5-small-persianlu-translation_en_fa/resolve/main/tokenizer_config.json "HTTP/1.1 401 Unauthorized"
2026-07-17 17:01:17,245 | INFO | werkzeug | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5000
2026-07-17 17:01:17,245 | INFO | werkzeug | [33mPress CTRL+C to quit[0m
2026-07-17 17:01:17,262 | INFO | werkzeug |  * Restarting with stat
2026-07-17 17:01:26,789 | WARNING | werkzeug |  * Debugger is active!
2026-07-17 17:01:26,794 | INFO | werkzeug |  * Debugger PIN: 115-207-918
2026-07-17 17:01:37,629 | INFO | werkzeug | 127.0.0.1 - - [17/Jul/2026 17:01:37] "[35m[1mGET / HTTP/1.1[0m" 500 -
2026-07-17 17:01:38,006 | INFO | werkzeug | 127.0.0.1 - - [17/Jul/2026 17:01:38] "GET /?__debugger__=yes&cmd=resource&f=style.css HTTP/1.1" 200 -
2026-07-17 17:01:38,128 | INFO | werkzeug | 127.0.0.1 - - [17/Jul/2026 17:01:38] "GET /?__debugger__=yes&cmd=resource&f=debugger.js HTTP/1.1" 200 -
2026-07-17 17:01:38,203 | INFO | werkzeug | 127.0.0.1 - - [17/Jul/2026 17:01:38] "GET /?__debugger__=yes&cmd=resource&f=console.png&s=LxZJxQARX6NAMGFHOXj7 HTTP/1.1" 200 -
2026-07-17 17:01:38,221 | INFO | werkzeug | 127.0.0.1 - - [17/Jul/2026 17:01:38] "GET /?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1" 200 -
2026-07-17 17:07:38,556 | INFO | werkzeug |  * Detected change in 'C:\\Users\\narges.hajmollaali\\Documents\\multi-model-ai-translator\\app\\__init__.py', reloading
2026-07-17 17:07:39,329 | INFO | werkzeug |  * Restarting with stat
2026-07-17 17:07:54,195 | INFO | werkzeug | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5000
2026-07-17 17:07:54,195 | INFO | werkzeug | [33mPress CTRL+C to quit[0m
2026-07-17 17:07:54,204 | INFO | werkzeug |  * Restarting with stat
2026-07-17 17:08:05,839 | WARNING | werkzeug |  * Debugger is active!
2026-07-17 17:08:05,848 | INFO | werkzeug |  * Debugger PIN: 115-207-918
2026-07-17 17:08:07,732 | INFO | werkzeug | 127.0.0.1 - - [17/Jul/2026 17:08:07] "GET / HTTP/1.1" 200 -
2026-07-17 17:08:07,759 | INFO | werkzeug | 127.0.0.1 - - [17/Jul/2026 17:08:07] "[33mGET /static/plus.png HTTP/1.1[0m" 404 -
2026-07-17 17:08:07,762 | INFO | werkzeug | 127.0.0.1 - - [17/Jul/2026 17:08:07] "[33mGET /static/play.png HTTP/1.1[0m" 404 -
2026-07-17 17:08:07,767 | INFO | werkzeug | 127.0.0.1 - - [17/Jul/2026 17:08:07] "[33mGET /static/pause.png HTTP/1.1[0m" 404 -
